Determination start,Method name,ID1.Value,ID2.Value,RS01.Name,RS01.Value,RS02.Name,RS02.Value,Lab TEMP,[DELTA]ph
,,,,,,,,,
,pH Cal,Standard,,,,,,,0
,pH Measure,cc,,pH,,T,,,
,pH Measure,BLK,before,pH,,T,,,
,pH Measure,BLK,after,pH,,T,,,
,pH Measure,1,,pH,,T,,,
,pH Measure,1,,pH,,T,,,
,pH Measure,1,,pH,,T,,,
,pH Measure,2,,pH,,T,,,
,pH Measure,2,,pH,,T,,,
,pH Measure,2,,pH,,T,,,
,pH Measure,3,,pH,,T,,,
,pH Measure,3,,pH,,T,,,
,pH Measure,3,,pH,,T,,,
,pH Measure,4,,pH,,T,,,
,pH Measure,4,,pH,,T,,,
,pH Measure,4,,pH,,T,,,
,pH Measure,5,,pH,,T,,,
,pH Measure,5,,pH,,T,,,
,pH Measure,5,,pH,,T,,,
,pH Measure,6,,pH,,T,,,
,pH Measure,6,,pH,,T,,,
,pH Measure,6,,pH,,T,,,
,pH Measure,7,,pH,,T,,,
,pH Measure,7,,pH,,T,,,
,pH Measure,7,,pH,,T,,,
,pH Measure,8,,pH,,T,,,
,pH Measure,8,,pH,,T,,,
,pH Measure,8,,pH,,T,,,
,pH Measure,9,,pH,,T,,,
,pH Measure,9,,pH,,T,,,
,pH Measure,9,,pH,,T,,,
,pH Measure,10,,pH,,T,,,
,pH Measure,10,,pH,,T,,,
,pH Measure,10,,pH,,T,,,
,pH Measure,11,,pH,,T,,,
,pH Measure,11,,pH,,T,,,
,pH Measure,11,,pH,,T,,,
,pH Measure,12,,pH,,T,,,
,pH Measure,12,,pH,,T,,,
,pH Measure,12,,pH,,T,,,
,pH Measure,13,,pH,,T,,,
,pH Measure,13,,pH,,T,,,
,pH Measure,13,,pH,,T,,,
,pH Measure,14,,pH,,T,,,
,pH Measure,14,,pH,,T,,,
,pH Measure,14,,pH,,T,,,
,pH Measure,15,,pH,,T,,,
,pH Measure,15,,pH,,T,,,
,pH Measure,15,,pH,,T,,,
,pH Measure,16,,pH,,T,,,
,pH Measure,16,,pH,,T,,,
,pH Measure,16,,pH,,T,,,
,pH Measure,17,,pH,,T,,,
,pH Measure,17,,pH,,T,,,
,pH Measure,17,,pH,,T,,,
,pH Measure,18,,pH,,T,,,
,pH Measure,18,,pH,,T,,,
,pH Measure,18,,pH,,T,,,
,pH Measure,19,,pH,,T,,,
,pH Measure,19,,pH,,T,,,
,pH Measure,19,,pH,,T,,,
,pH Measure,20,,pH,,T,,,
,pH Measure,20,,pH,,T,,,
,pH Measure,20,,pH,,T,,,
,pH Measure,CC,,pH,,T,,,
,pH Measure,21,,pH,,T,,,
,pH Measure,21,,pH,,T,,,
,pH Measure,21,,pH,,T,,,
,pH Measure,22,,pH,,T,,,
,pH Measure,22,,pH,,T,,,
,pH Measure,22,,pH,,T,,,
,pH Measure,23,,pH,,T,,,
,pH Measure,23,,pH,,T,,,
,pH Measure,23,,pH,,T,,,
,pH Measure,24,,pH,,T,,,
,pH Measure,24,,pH,,T,,,
,pH Measure,24,,pH,,T,,,
,pH Measure,25,,pH,,T,,,
,pH Measure,25,,pH,,T,,,
,pH Measure,25,,pH,,T,,,
,pH Measure,26,,pH,,T,,,
,pH Measure,26,,pH,,T,,,
,pH Measure,26,,pH,,T,,,
,pH Measure,27,,pH,,T,,,
,pH Measure,27,,pH,,T,,,
,pH Measure,27,,pH,,T,,,
,pH Measure,28,,pH,,T,,,
,pH Measure,28,,pH,,T,,,
,pH Measure,28,,pH,,T,,,
,pH Measure,29,,pH,,T,,,
,pH Measure,29,,pH,,T,,,
,pH Measure,29,,pH,,T,,,
,pH Measure,30,,pH,,T,,,
,pH Measure,30,,pH,,T,,,
,pH Measure,30,,pH,,T,,,
,pH Measure,31,,pH,,T,,,
,pH Measure,31,,pH,,T,,,
,pH Measure,31,,pH,,T,,,
,pH Measure,32,,pH,,T,,,
,pH Measure,32,,pH,,T,,,
,pH Measure,32,,pH,,T,,,
,pH Measure,33,,pH,,T,,,
,pH Measure,33,,pH,,T,,,
,pH Measure,33,,pH,,T,,,
,pH Measure,34,,pH,,T,,,
,pH Measure,34,,pH,,T,,,
,pH Measure,34,,pH,,T,,,
,pH Measure,35,,pH,,T,,,
,pH Measure,35,,pH,,T,,,
,pH Measure,35,,pH,,T,,,
,pH Measure,36,,pH,,T,,,
